name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
"ACURA PHARMACEUTICALS, INC",2015.0,FY,-4088000.0,42000.0,,,-97.33333333333333
ADAIAH DISTRIBUTION INC,2015.0,FY,-12.0,91307.0,,,-0.0001314247538523881
ADAIAH DISTRIBUTION INC,2016.0,Q1,-12.0,30141.0,,-0.6698938745112641,-0.0003981287946650742
ADAMAS PHARMACEUTICALS INC,2015.0,FY,50921000.0,71095000.0,,,0.7162388353611365
ADAMIS PHARMACEUTICALS CORP,2015.0,FY,-9316355.0,,,,
"ADAMS RESOURCES & ENERGY, INC.",2015.0,FY,21610000.0,3945969000.0,,,0.005476474853198289
"ADCARE HEALTH SYSTEMS, INC",2015.0,FY,-13599000.0,3325000.0,,,-4.089924812030075
ADDENTAX GROUP CORP.,2015.0,Q3,-320.0,2700.0,,,-0.11851851851851852
ADDUS HOMECARE CORP,2015.0,FY,19145000.0,,,,
ADESTO TECHNOLOGIES CORP,2015.0,FY,-8153000.0,49684000.0,,,-0.16409709363175268
"ADM ENDEAVORS, INC.",2015.0,Q1,-15895.0,45084.0,,,-0.3525641025641026
"ADM ENDEAVORS, INC.",2015.0,Q2,-342.0,60017.0,,0.3312261556206193,-0.005698385457453722
"ADM ENDEAVORS, INC.",2015.0,Q3,-4253.0,36147.0,,-0.3977206458170185,-0.11765845021716878
"ADM TRONICS UNLIMITED, INC.",2015.0,Q3,114653.0,677683.0,,,0.16918382193444428
"ADMA BIOLOGICS, INC.",2015.0,FY,-16813163.0,5915545.0,,,-2.842200169215178
ADMIRAL FINANCIAL CORP,2016.0,Q2,0.0,,,,
ADOBE SYSTEMS INC,2015.0,FY,289985000.0,4055240000.0,,,0.0715087146506742
ADOBE SYSTEMS INC,2016.0,Q1,84888000.0,1109181000.0,,-0.7264820331225772,0.07653214398732038
"ADS WASTE HOLDINGS, INC.",2015.0,Q3,-192600000.0,,,,
ADT CORP,2016.0,Q1,72000000.0,887000000.0,,,0.08117249154453213
ADTRAN INC,2015.0,FY,45794000.0,,,,
"ADURO BIOTECH, INC.",2015.0,FY,-16054000.0,828000.0,,,-19.38888888888889
ADVANCE AUTO PARTS INC,2015.0,FY,391758000.0,,,,
